,value,percentage,tipo_energia,fecha
0,182024.98,0.29,Renovable,2011-01-01
1,265705.89,0.39,Renovable,2011-01-02
2,249489.57,0.3,Renovable,2011-01-03
3,270981.71,0.31,Renovable,2011-01-04
4,379833.02,0.45,Renovable,2011-01-05
5,380223.24,0.52,Renovable,2011-01-06
6,418203.21,0.53,Renovable,2011-01-07
7,414962.01,0.54,Renovable,2011-01-08
8,306374.48,0.44,Renovable,2011-01-09
9,373942.57,0.42,Renovable,2011-01-10
10,432775.09,0.48,Renovable,2011-01-11
11,372080.36,0.42,Renovable,2011-01-12
12,299407.52,0.34,Renovable,2011-01-13
13,299062.82,0.35,Renovable,2011-01-14
14,283586.25,0.38,Renovable,2011-01-15
15,297066.47,0.43,Renovable,2011-01-16
16,269351.54,0.31,Renovable,2011-01-17
17,262572.45,0.29,Renovable,2011-01-18
18,248645.0,0.28,Renovable,2011-01-19
19,307931.14,0.35,Renovable,2011-01-20
20,438673.99,0.49,Renovable,2011-01-21
21,450026.51,0.54,Renovable,2011-01-22
22,387997.71,0.5,Renovable,2011-01-23
23,399313.72,0.43,Renovable,2011-01-24
24,338645.33,0.36,Renovable,2011-01-25
25,263612.38,0.28,Renovable,2011-01-26
26,252258.17,0.27,Renovable,2011-01-27
27,276216.62,0.29,Renovable,2011-01-28
28,255617.34,0.32,Renovable,2011-01-29
29,251252.18,0.34,Renovable,2011-01-30
30,290435.26,0.32,Renovable,2011-01-31
31,315266.64,0.34,Renovable,2011-02-01
32,331061.9,0.36,Renovable,2011-02-02
33,274566.72,0.3,Renovable,2011-02-03
34,238684.95,0.27,Renovable,2011-02-04
35,194273.84,0.25,Renovable,2011-02-05
36,170714.22,0.24,Renovable,2011-02-06
37,201665.53,0.24,Renovable,2011-02-07
38,197762.89,0.23,Renovable,2011-02-08
39,216866.34,0.25,Renovable,2011-02-09
40,228519.63,0.27,Renovable,2011-02-10
41,224420.98,0.26,Renovable,2011-02-11
42,193610.13,0.25,Renovable,2011-02-12
43,282535.52,0.39,Renovable,2011-02-13
44,352439.32,0.4,Renovable,2011-02-14
45,298918.89,0.33,Renovable,2011-02-15
46,375002.72,0.42,Renovable,2011-02-16
47,375455.58,0.42,Renovable,2011-02-17
48,322400.61,0.37,Renovable,2011-02-18
49,219922.65,0.3,Renovable,2011-02-19
50,297444.99,0.42,Renovable,2011-02-20
51,417704.04,0.49,Renovable,2011-02-21
52,414920.91,0.48,Renovable,2011-02-22
53,297456.92,0.36,Renovable,2011-02-23
54,249641.6,0.31,Renovable,2011-02-24
55,244891.12,0.31,Renovable,2011-02-25
56,299573.68,0.42,Renovable,2011-02-26
57,350573.45,0.5,Renovable,2011-02-27
58,405204.09,0.48,Renovable,2011-02-28
59,382820.22,0.43,Renovable,2011-03-01
60,370940.65,0.41,Renovable,2011-03-02
61,305246.39,0.34,Renovable,2011-03-03
62,288384.5,0.32,Renovable,2011-03-04
63,252383.88,0.33,Renovable,2011-03-05
64,201812.8,0.3,Renovable,2011-03-06
65,278629.15,0.35,Renovable,2011-03-07
66,369104.48,0.43,Renovable,2011-03-08
67,300188.77,0.35,Renovable,2011-03-09
68,260813.52,0.31,Renovable,2011-03-10
69,297418.2,0.35,Renovable,2011-03-11
70,248243.15,0.33,Renovable,2011-03-12
71,211421.92,0.31,Renovable,2011-03-13
72,307363.85,0.37,Renovable,2011-03-14
73,308614.73,0.37,Renovable,2011-03-15
74,422819.16,0.47,Renovable,2011-03-16
75,370266.04,0.43,Renovable,2011-03-17
76,296945.7,0.36,Renovable,2011-03-18
77,295840.19,0.41,Renovable,2011-03-19
78,273277.92,0.4,Renovable,2011-03-20
79,302240.25,0.37,Renovable,2011-03-21
80,335784.76,0.41,Renovable,2011-03-22
81,397110.02,0.46,Renovable,2011-03-23
82,378766.0,0.44,Renovable,2011-03-24
83,262110.42,0.32,Renovable,2011-03-25
84,274036.34,0.39,Renovable,2011-03-26
85,348244.59,0.52,Renovable,2011-03-27
86,335145.46,0.42,Renovable,2011-03-28
87,317048.1,0.38,Renovable,2011-03-29
88,341220.96,0.41,Renovable,2011-03-30
89,271825.56,0.34,Renovable,2011-03-31
90,333479.51,0.44,Renovable,2011-04-01
91,303103.5,0.43,Renovable,2011-04-02
92,264008.34,0.42,Renovable,2011-04-03
93,273108.74,0.36,Renovable,2011-04-04
94,255983.75,0.33,Renovable,2011-04-05
95,299193.86,0.38,Renovable,2011-04-06
96,256130.2,0.33,Renovable,2011-04-07
97,235650.52,0.31,Renovable,2011-04-08
98,278400.38,0.41,Renovable,2011-04-09
99,327961.4,0.5,Renovable,2011-04-10
100,355657.03,0.46,Renovable,2011-04-11
